Country,Individualistic
Netherlands,100
Denmark,89
Sweden,87
Iceland,83
Belgium,81
Norway,81
Slovenia,81
Germany,79
Switzerland,79
Austria,77
United Kingdom,76
Finland,75
France,74
Australia,73
Canada,72
Hungary,71
Czechia,70
Latvia,70
New Zealand,69
Spain,67
Japan,62
Estonia,62
United States,60
Uruguay,60
Luxembourg,60
Portugal,59
Greece,59
Malta,59
South Korea,58
Ireland,58
Slovakia,57
Israel,56
Ukraine,55
Lithuania,55
Italy,53
Bhutan,52
Argentina,51
Hong Kong,50
Bulgaria,50
Chile,49
Saudi Arabia,48
Belarus,48
Poland,47
Suriname,47
Russia,46
Turkey,46
Romania,46
China,43
Singapore,43
Puerto Rico,43
Serbia,42
Croatia,42
Taiwan,40
Bosnia and Herzegovina,40
North Macedonia,40
Jamaica,39
Dominican Republic,38
Mongolia,37
Sao Tome and Principe,37
Brazil,36
Guatemala,36
United Arab Emirates,36
Syria,35
Sri Lanka,35
Zambia,35
Mexico,34
Vietnam,30
Nepal,30
Malawi,30
Namibia,30
Colombia,29
Algeria,29
Azerbaijan,28
Kuwait,28
Malaysia,27
Tunisia,27
Lebanon,27
Moldova,27
Albania,27
Montenegro,27
Venezuela,26
Tanzania,25
Iraq,25
Senegal,25
Trinidad and Tobago,25
India,24
Morocco,24
Ecuador,24
Iran,23
South Africa,23
Bolivia,23
Peru,20
Kazakhstan,20
Jordan,20
Honduras,20
Sierra Leone,20
Cape Verde,20
Thailand,19
El Salvador,19
Angola,18
Qatar,18
Philippines,17
Libya,17
Armenia,17
Mozambique,15
Burkina Faso,15
Costa Rica,15
Georgia,15
Fiji,14
Egypt,13
Paraguay,12
Panama,11
Ghana,9
Ethiopia,7
Indonesia,5
Pakistan,5
Bangladesh,5
Kenya,4
